Original	Corrected	Label
the boy are here .	The boy are here .	0
the boy have n't been there .	The boy hasn't been there .	0
the boy like to read .	The boy likes to read .	0
the boy know where to go .	The boy knows where to go.	0
the boy seem nice .	the boy seem nice .	0
the boy are walking .	The boy walking .	0
the boy sleep here .	the boy sleeps here .	0
the boy have a problem .	The boy has a problem .	0
the boy have to go .	The boy has to go .	0
the boy get it .	The boy gets it .	0
the boy have the flu .	The boy has the flu .	0
the boy feel great .	The boy feels great.	0
the boy are n't going to come .	The boy isn't going to come .	0
she are here .	She is here .	0
she have n't been there .	She hasn't been there.	0
she like to read .	She likes to read.	0
she know where to go .	She knows where to go.	0
she seem nice .	She seem nice .	0
she are walking .	she is walking .	0
she sleep here .	She sleeps here .	0
she have a problem .	She has a problem .	0
she have to go .	She has to go .	0
she get it .	She got it .	0
she have the flu .	She has the flu.	0
she feel great .	She feels great.	0
she are n't going to come .	She is n't going to come.	0
he are here .	He is here .	0
he have n't been there .	he hasn't been there .	0
he like to read .	He likes to read .	0
he know where to go .	He knows where to go.	0
he seem nice .	He seems nice .	0
he are walking .	he is walking .	0
he sleep here .	He sleeps here .	0
he have a problem .	he has a problem .	0
he have to go .	He has to go.	0
he get it .	He gets it .	0
he have the flu .	He has the flu .	0
he feel great .	He feels great.	0
he are n't going to come .	he are n't going to come .	0
my friend are here .	My friend are here .	0
my friend have n't been there .	my friend hasn't been there .	0
my friend like to read .	My friend likes to read .	0
my friend know where to go .	my friend know where to go.	0
my friend seem nice .	my friend seem nice .	0
my friend are walking .	my friend walking .	0
my friend sleep here .	my friend sleeps here .	0
my friend have a problem .	My friend has a problem .	0
my friend have to go .	my friend have to go .	0
my friend get it .	my friend got it .	0
my friend have the flu .	My friend has the flu.	0
my friend feel great .	My friend feels great.	0
my friend are n't going to come .	My friend are n't going to come.	0
that guy are here .	That guy is here .	0
that guy have n't been there .	That guy hasn't been there .	0
that guy like to read .	That guy likes to read .	0
that guy know where to go .	That guy knows where to go.	0
that guy seem nice .	That guy seems nice .	0
that guy are walking .	that guy are walking .	0
that guy sleep here .	That guy sleeps here .	0
that guy have a problem .	That guy has a problem .	0
that guy have to go .	That guy has to go.	0
that guy get it .	That guy got it .	0
that guy have the flu .	That guy has the flu .	0
that guy feel great .	That guy feels great.	0
that guy are n't going to come .	That guy isn't going to come.	0
the dancer are here .	The dancers are here .	0
the dancer have n't been there .	the dancer have n't been there .	0
