Original	Corrected	Label	Edit_Distance
the boy are here .	The boy are here .	0	0.05555555555555555
the boy have n't been there .	The boy hasn't been there .	0	0.13793103448275862
the boy like to read .	The boy likes to read .	0	0.08695652173913043
the boy know where to go .	The boy knows where to go.	0	0.11538461538461539
the boy seem nice .	the boy seem nice .	0	0.0
the boy are walking .	The boy walking .	0	0.23809523809523808
the boy sleep here .	the boy sleeps here .	0	0.047619047619047616
the boy have a problem .	The boy has a problem .	0	0.125
the boy have to go .	The boy has to go .	0	0.15
the boy get it .	The boy gets it .	0	0.11764705882352941
the boy have the flu .	The boy has the flu .	0	0.13636363636363635
the boy feel great .	The boy feels great.	0	0.15
the boy are n't going to come .	The boy isn't going to come .	0	0.16129032258064516
she are here .	She is here .	0	0.2857142857142857
she have n't been there .	She hasn't been there.	0	0.2
she like to read .	She likes to read.	0	0.16666666666666666
she know where to go .	She knows where to go.	0	0.13636363636363635
she seem nice .	She seem nice .	0	0.06666666666666667
she are walking .	she is walking .	0	0.17647058823529413
she sleep here .	She sleeps here .	0	0.11764705882352941
she have a problem .	She has a problem .	0	0.15
she have to go .	She has to go .	0	0.1875
she get it .	She got it .	0	0.16666666666666666
she have the flu .	She has the flu.	0	0.2222222222222222
she feel great .	She feels great.	0	0.1875
she are n't going to come .	She is n't going to come.	0	0.18518518518518517
he are here .	He is here .	0	0.3076923076923077
he have n't been there .	he hasn't been there .	0	0.125
he like to read .	He likes to read .	0	0.1111111111111111
he know where to go .	He knows where to go.	0	0.14285714285714285
he seem nice .	He seems nice .	0	0.13333333333333333
he are walking .	he is walking .	0	0.1875
he sleep here .	He sleeps here .	0	0.125
he have a problem .	he has a problem .	0	0.10526315789473684
he have to go .	He has to go.	0	0.26666666666666666
he get it .	He gets it .	0	0.16666666666666666
he have the flu .	He has the flu .	0	0.17647058823529413
he feel great .	He feels great.	0	0.2
he are n't going to come .	he are n't going to come .	0	0.0
my friend are here .	My friend are here .	0	0.05
my friend have n't been there .	my friend hasn't been there .	0	0.0967741935483871
my friend like to read .	My friend likes to read .	0	0.08
my friend know where to go .	my friend know where to go.	0	0.03571428571428571
my friend seem nice .	my friend seem nice .	0	0.0
my friend are walking .	my friend walking .	0	0.17391304347826086
my friend sleep here .	my friend sleeps here .	0	0.043478260869565216
my friend have a problem .	My friend has a problem .	0	0.11538461538461539
my friend have to go .	my friend have to go .	0	0.0
my friend get it .	my friend got it .	0	0.05555555555555555
my friend have the flu .	My friend has the flu.	0	0.16666666666666666
my friend feel great .	My friend feels great.	0	0.13636363636363635
my friend are n't going to come .	My friend are n't going to come.	0	0.06060606060606061
that guy are here .	That guy is here .	0	0.21052631578947367
that guy have n't been there .	That guy hasn't been there .	0	0.13333333333333333
that guy like to read .	That guy likes to read .	0	0.08333333333333333
that guy know where to go .	That guy knows where to go.	0	0.1111111111111111
that guy seem nice .	That guy seems nice .	0	0.09523809523809523
that guy are walking .	that guy are walking .	0	0.0
that guy sleep here .	That guy sleeps here .	0	0.09090909090909091
that guy have a problem .	That guy has a problem .	0	0.12
that guy have to go .	That guy has to go.	0	0.19047619047619047
that guy get it .	That guy got it .	0	0.11764705882352941
that guy have the flu .	That guy has the flu .	0	0.13043478260869565
that guy feel great .	That guy feels great.	0	0.14285714285714285
