Original	Corrected	Label	Edit_Distance
the boy is here .	The boy is here .	1	0.058823529411764705
the boy has n't been there .	The boy has n't been there .	1	0.03571428571428571
the boy likes to read .	The boy likes to read .	1	0.043478260869565216
the boy knows where to go .	The boy knows where to go.	1	0.07407407407407407
the boy seems nice .	The boy seems nice .	1	0.05
the boy is walking .	The boy is walking .	1	0.05
the boy sleeps here .	The boy sleeps here .	1	0.047619047619047616
the boy has a problem .	The boy has a problem .	1	0.043478260869565216
the boy has to go .	The boy has to go .	1	0.05263157894736842
the boy gets it .	The boy gets it .	1	0.058823529411764705
the boy has the flu .	The boy has the flu .	1	0.047619047619047616
the boy feels great .	The boy feels great.	1	0.09523809523809523
the boy is n't going to come .	The boy is n't going to come .	1	0.03333333333333333
she is here .	She is here .	1	0.07692307692307693
she has n't been there .	She hasn't been there.	1	0.125
she likes to read .	She likes to read.	1	0.10526315789473684
she knows where to go .	She knows where to go.	1	0.08695652173913043
she seems nice .	She seems nice .	1	0.0625
she is walking .	She is walking .	1	0.0625
she sleeps here .	She sleeps here .	1	0.058823529411764705
she has a problem .	She has a problem .	1	0.05263157894736842
she has to go .	She has to go.	1	0.13333333333333333
she gets it .	She gets it .	1	0.07692307692307693
she has the flu .	She has the flu.	1	0.11764705882352941
she feels great .	She feels great.	1	0.11764705882352941
she is n't going to come .	She is n't going to come.	1	0.07692307692307693
he is here .	He is here .	1	0.08333333333333333
he has n't been there .	He hasn't been there .	1	0.08695652173913043
he likes to read .	He likes to read .	1	0.05555555555555555
he knows where to go .	He knows where to go.	1	0.09090909090909091
he seems nice .	He seems nice .	1	0.06666666666666667
he is walking .	He is walking .	1	0.06666666666666667
he sleeps here .	He sleeps here .	1	0.0625
he has a problem .	He has a problem .	1	0.05555555555555555
he has to go .	He has to go.	1	0.14285714285714285
he gets it .	He gets it .	1	0.08333333333333333
he has the flu .	He has the flu.	1	0.125
he feels great .	He feels great.	1	0.125
he is n't going to come .	he is n't going to come .	1	0.0
my friend is here .	my friend is here .	1	0.0
my friend has n't been there .	my friend hasn't been there .	1	0.03333333333333333
my friend likes to read .	My friend likes to read .	1	0.04
my friend knows where to go .	My friend knows where to go.	1	0.06896551724137931
my friend seems nice .	my friend seems nice .	1	0.0
my friend is walking .	my friend is walking .	1	0.0
